Location | Metric |  2014-11-14 19:00:00 |  2014-11-15 19:00:00 |  2014-11-16 19:00:00 |  2014-11-17 19:00:00 |  2014-11-18 19:00:00 |  2014-11-19 19:00:00 |  2014-11-20 19:00:00 |  2014-11-21 19:00:00 |  2014-11-22 19:00:00 |  2014-11-23 19:00:00 |  2014-11-24 19:00:00 |  2014-11-25 19:00:00 |  2014-11-26 19:00:00 |  2014-11-27 19:00:00 |  2014-11-28 19:00:00 |  2014-11-29 19:00:00 |  2014-11-30 19:00:00 |  2014-12-01 19:00:00 |  2014-12-02 19:00:00 |  2014-12-03 19:00:00 |  2014-12-04 19:00:00 |  2014-12-05 19:00:00 |  2014-12-06 19:00:00 |  2014-12-07 19:00:00 |  2014-12-08 19:00:00 |  2014-12-09 19:00:00 |  2014-12-10 19:00:00 |  2014-12-11 19:00:00 |  2014-12-12 19:00:00 |  2014-12-13 19:00:00 |  2014-12-14 19:00:00 |  2014-12-15 19:00:00 |  2014-12-16 19:00:00 |  2014-12-17 19:00:00 |  2014-12-18 19:00:00 |  2014-12-19 19:00:00 |  2014-12-20 19:00:00 |  2014-12-21 19:00:00 |  2014-12-22 19:00:00 |  2014-12-23 19:00:00 |  2014-12-24 19:00:00 |  2014-12-25 19:00:00 |  2014-12-26 19:00:00 |  2014-12-27 19:00:00 |  2014-12-28 19:00:00 |  2014-12-29 19:00:00 |  2014-12-30 19:00:00 |  2014-12-31 19:00:00 |  2015-01-01 19:00:00 |  2015-01-02 19:00:00 |  2015-01-03 19:00:00 |  2015-01-04 19:00:00 |  2015-01-05 19:00:00 |  2015-01-06 19:00:00 |  2015-01-07 19:00:00 |  2015-01-08 19:00:00 |  2015-01-09 19:00:00 |  2015-01-10 19:00:00 |  2015-01-11 19:00:00 |  2015-01-12 19:00:00 |  2015-01-13 19:00:00 |  2015-01-14 19:00:00 |  2015-01-15 19:00:00 |  2015-01-16 19:00:00 |  2015-01-17 19:00:00 |  2015-01-18 19:00:00 |  2015-01-19 19:00:00 |  2015-01-20 19:00:00 |  2015-01-21 19:00:00 |  2015-01-22 19:00:00 |  2015-01-23 19:00:00 |  2015-01-24 19:00:00 |  2015-01-25 19:00:00 |  2015-01-26 19:00:00 |  2015-01-27 19:00:00 |  2015-01-28 19:00:00 |  2015-01-29 19:00:00 |  2015-01-30 19:00:00 |  2015-01-31 19:00:00 |  2015-02-01 19:00:00 |  2015-02-02 19:00:00 |  2015-02-03 19:00:00 |  2015-02-04 19:00:00 |  2015-02-05 19:00:00 |  2015-02-06 19:00:00 |  2015-02-07 19:00:00 |  2015-02-08 19:00:00 |  2015-02-09 19:00:00 |  
dietrickcardislekiosk | Total visits |  8 |  6 |  7 |  8 |  11 |  5 |  5 |  0 |  0 |  0 |  1 |  1 |  0 |  0 |  1 |  1 |  7 |  11 |  7 |  5 |  5 |  10 |  9 |  6 |  7 |  9 |  17 |  7 |  11 |  8 |  4 |  20 |  12 |  16 |  4 |  0 |  1 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  2 |  2 |  0 |  1 |  1 |  3 |  5 |  4 |  2 |  9 |  7 |  4 |  4 |  3 |  5 |  2 |  4 |  4 |  12 |  4 |  13 |  13 |  9 |  10 |  11 |  11 |  7 |  
dietrickcardislekiosk | Visits reaching subcategory |  8 |  4 |  7 |  8 |  11 |  4 |  5 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  6 |  8 |  6 |  5 |  4 |  10 |  8 |  6 |  5 |  7 |  9 |  5 |  11 |  7 |  3 |  12 |  12 |  16 |  4 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  1 |  2 |  0 |  0 |  1 |  3 |  4 |  3 |  0 |  8 |  6 |  4 |  3 |  3 |  4 |  0 |  4 |  3 |  8 |  2 |  11 |  12 |  9 |  10 |  11 |  11 |  7 |  
dietrickcardislekiosk | Visits reaching design |  6 |  5 |  5 |  5 |  10 |  4 |  3 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  6 |  7 |  6 |  5 |  4 |  8 |  7 |  5 |  3 |  4 |  15 |  2 |  11 |  7 |  2 |  18 |  11 |  16 |  4 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  2 |  0 |  0 |  1 |  3 |  4 |  2 |  0 |  7 |  5 |  3 |  3 |  3 |  3 |  0 |  4 |  4 |  8 |  2 |  10 |  12 |  9 |  8 |  11 |  8 |  6 |  
dietrickcardislekiosk | Visits reaching print |  1 |  0 |  4 |  5 |  7 |  2 |  2 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  3 |  2 |  1 |  2 |  2 |  1 |  3 |  3 |  2 |  3 |  12 |  1 |  7 |  1 |  1 |  10 |  8 |  9 |  4 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  2 |  2 |  0 |  4 |  4 |  1 |  2 |  2 |  1 |  0 |  2 |  2 |  4 |  0 |  6 |  6 |  2 |  5 |  5 |  7 |  6 |  
dietrickcardislekiosk | Visits reaching purchase |  1 |  0 |  4 |  5 |  7 |  2 |  2 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  3 |  2 |  1 |  2 |  2 |  1 |  3 |  3 |  2 |  3 |  12 |  1 |  7 |  1 |  1 |  10 |  8 |  9 |  4 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  2 |  1 |  0 |  3 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  2 |  0 |  0 |  3 |  3 |  5 |  1 |  
umallcardislekiosk | Total visits |  8 |  6 |  15 |  5 |  14 |  8 |  8 |  3 |  6 |  15 |  8 |  8 |  3 |  2 |  8 |  3 |  6 |  6 |  9 |  6 |  11 |  4 |  17 |  12 |  13 |  14 |  7 |  9 |  7 |  5 |  6 |  7 |  9 |  5 |  13 |  8 |  12 |  14 |  13 |  25 |  4 |  1 |  1 |  6 |  7 |  5 |  2 |  2 |  8 |  6 |  8 |  5 |  7 |  8 |  5 |  7 |  5 |  3 |  3 |  6 |  5 |  5 |  13 |  3 |  2 |  11 |  8 |  6 |  5 |  4 |  5 |  14 |  2 |  0 |  5 |  6 |  5 |  7 |  2 |  4 |  8 |  3 |  5 |  14 |  13 |  0 |  2 |  3 |  
umallcardislekiosk | Visits reaching subcategory |  6 |  4 |  13 |  4 |  12 |  7 |  7 |  3 |  6 |  13 |  6 |  5 |  2 |  2 |  6 |  3 |  6 |  4 |  8 |  4 |  9 |  3 |  15 |  11 |  12 |  10 |  5 |  8 |  5 |  5 |  6 |  7 |  9 |  5 |  13 |  8 |  10 |  14 |  13 |  25 |  3 |  1 |  1 |  6 |  7 |  5 |  1 |  1 |  6 |  6 |  8 |  5 |  7 |  5 |  4 |  5 |  1 |  2 |  2 |  6 |  0 |  3 |  10 |  2 |  2 |  9 |  5 |  4 |  5 |  3 |  4 |  11 |  2 |  0 |  3 |  4 |  4 |  5 |  2 |  3 |  6 |  3 |  5 |  7 |  12 |  0 |  1 |  3 |  
umallcardislekiosk | Visits reaching design |  5 |  2 |  12 |  3 |  11 |  4 |  6 |  3 |  6 |  13 |  4 |  5 |  1 |  1 |  6 |  2 |  5 |  2 |  7 |  3 |  8 |  2 |  12 |  9 |  10 |  4 |  3 |  5 |  3 |  4 |  6 |  6 |  8 |  3 |  11 |  6 |  8 |  11 |  9 |  23 |  3 |  0 |  0 |  6 |  7 |  4 |  1 |  1 |  6 |  5 |  7 |  4 |  7 |  2 |  3 |  4 |  1 |  2 |  2 |  5 |  0 |  3 |  6 |  1 |  2 |  9 |  6 |  4 |  5 |  3 |  3 |  8 |  2 |  0 |  2 |  3 |  3 |  4 |  2 |  2 |  6 |  3 |  4 |  8 |  12 |  0 |  1 |  1 |  
umallcardislekiosk | Visits reaching print |  0 |  0 |  5 |  2 |  3 |  0 |  3 |  0 |  0 |  6 |  1 |  0 |  0 |  0 |  1 |  1 |  0 |  1 |  5 |  1 |  2 |  0 |  4 |  1 |  2 |  0 |  0 |  1 |  1 |  3 |  0 |  1 |  5 |  2 |  7 |  2 |  3 |  9 |  6 |  18 |  1 |  0 |  0 |  0 |  1 |  1 |  0 |  0 |  3 |  3 |  1 |  0 |  2 |  0 |  1 |  2 |  0 |  0 |  1 |  2 |  0 |  0 |  5 |  1 |  0 |  3 |  2 |  0 |  3 |  1 |  0 |  3 |  1 |  0 |  1 |  1 |  2 |  1 |  0 |  1 |  1 |  0 |  1 |  5 |  2 |  0 |  0 |  0 |  
umallcardislekiosk | Visits reaching purchase |  0 |  0 |  5 |  2 |  3 |  0 |  3 |  0 |  0 |  6 |  1 |  0 |  0 |  0 |  1 |  1 |  0 |  1 |  5 |  1 |  2 |  0 |  4 |  1 |  2 |  0 |  0 |  1 |  1 |  3 |  0 |  1 |  5 |  2 |  7 |  2 |  3 |  9 |  6 |  18 |  1 |  0 |  0 |  0 |  1 |  1 |  0 |  0 |  3 |  3 |  1 |  0 |  1 |  0 |  0 |  2 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  2 |  0 |  0 |  3 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  
